0	In             	O               	[NA]                	[0]
6	it             	O               	[NA]                	[6]
7	is             	O               	[NA]                	[7]
8	sad            	O               	[NA]                	[8]
9	to             	O               	[NA]                	[9]
10	look           	O               	[NA]                	[10]
11	across         	O               	[NA]                	[11]
12	these          	O               	[NA]                	[12]
13	mountains      	O               	[NA]                	[13]
14	and            	O               	[NA]                	[14]
15	realize        	O               	[NA]                	[15]
16	that           	O               	[NA]                	[16]
17	in             	O               	[NA]                	[17]
18	50             	O               	[NA]                	[18]
19	years          	O               	[NA]                	[19]
20	,              	O               	[NA]                	[20]
21	this           	O               	[NA]                	[21]
22	view           	O               	[NA]                	[22]
23	will           	O               	[NA]                	[23]
24	be             	O               	[NA]                	[24]
25	gone           	O               	[NA]                	[25]
26	.              	O               	[NA]                	[26]


0	All            	O               	[NA]                	[0]
1	of             	O               	[NA]                	[1]
2	these          	O               	[NA]                	[2]
3	glaciers       	B-PATH          	[mover]             	[8]
4	,              	O               	[NA]                	[4]
5	however        	O               	[NA]                	[5]
6	,              	O               	[NA]                	[6]
7	are            	O               	[NA]                	[7]
8	melting        	B-MOTION        	[NA]                	[8]
9	rapidly        	O               	[NA]                	[9]
10	â              	O               	[NA]                	[10]
11	€              	O               	[NA]                	[11]
12	“              	O               	[NA]                	[12]
13	some           	O               	[NA]                	[13]
14	studies        	O               	[NA]                	[14]
15	estimate       	O               	[NA]                	[15]
16	that           	O               	[NA]                	[16]
17	over           	O               	[NA]                	[17]
18	half           	O               	[NA]                	[18]
19	of             	O               	[NA]                	[19]
20	the            	O               	[NA]                	[20]
21	existing       	O               	[NA]                	[21]
22	glaciers       	B-PATH          	[mover]             	[24]
23	will           	O               	[NA]                	[23]
24	melt           	B-MOTION        	[NA]                	[24]
25	in             	O               	[NA]                	[25]
26	the            	O               	[NA]                	[26]
27	next           	O               	[NA]                	[27]
28	20             	O               	[NA]                	[28]
29	years          	O               	[NA]                	[29]
30	and            	O               	[NA]                	[30]
31	,              	O               	[NA]                	[31]
32	within         	O               	[NA]                	[32]
33	the            	O               	[NA]                	[33]
34	next           	O               	[NA]                	[34]
35	50             	O               	[NA]                	[35]
36	years          	O               	[NA]                	[36]
37	almost         	O               	[NA]                	[37]
38	the            	O               	[NA]                	[38]
39	ice            	O               	[NA]                	[39]
40	could          	O               	[NA]                	[40]
41	be             	O               	[NA]                	[41]
42	gone           	O               	[NA]                	[42]
43	.              	O               	[NA]                	[43]


0	Ten            	B-MEASURE       	[NA]                	[0]
1	meters         	I-MEASURE       	[NA]                	[1]
2	from           	B-SPATIAL_SIGNAL	[NA]                	[2]
3	the            	O               	[NA]                	[3]
4	summit         	B-PLACE         	[landmark]          	[2]
5	,              	O               	[NA]                	[5]
6	however        	O               	[NA]                	[6]
7	,              	O               	[NA]                	[7]
8	we             	B-SPATIAL_ENTITY	[mover, mover]      	[9, 18]
9	encountered    	B-MOTION        	[trajector]         	[2]
10	an             	O               	[NA]                	[10]
11	ice            	O               	[NA]                	[11]
12	wall           	B-PATH          	[landmark]          	[22]
13	that           	O               	[NA]                	[13]
14	would          	O               	[NA]                	[14]
15	have           	O               	[NA]                	[15]
16	required       	O               	[NA]                	[16]
17	steep          	O               	[NA]                	[17]
18	climbing       	B-MOTION        	[NA]                	[18]
19	with           	O               	[NA]                	[19]
20	rock           	O               	[NA]                	[20]
21	cliffs         	B-PATH          	[trajector]         	[22]
22	below          	B-SPATIAL_SIGNAL	[NA]                	[22]
23	.              	O               	[NA]                	[23]


0	Although       	O               	[NA]                	[0]
1	my             	O               	[NA]                	[1]
2	guide          	B-SPATIAL_ENTITY	[NA]                	[2]
3	was            	O               	[NA]                	[3]
4	ready          	O               	[NA]                	[4]
5	to             	O               	[NA]                	[5]
6	lead           	O               	[NA]                	[6]
7	,              	O               	[NA]                	[7]
8	I              	B-SPATIAL_ENTITY	[NA]                	[8]
9	decided        	O               	[NA]                	[9]
10	that           	O               	[NA]                	[10]
11	I              	B-SPATIAL_ENTITY	[mover]             	[16]
12	did            	O               	[NA]                	[12]
13	not            	O               	[NA]                	[13]
14	need           	O               	[NA]                	[14]
15	to             	O               	[NA]                	[15]
16	climb          	B-MOTION        	[NA]                	[16]
17	higher         	B-MOTION_SIGNAL 	[NA]                	[17]
18	,              	O               	[NA]                	[18]
19	as             	O               	[NA]                	[19]
20	I              	B-SPATIAL_ENTITY	[NA]                	[20]
21	was            	O               	[NA]                	[21]
22	more           	O               	[NA]                	[22]
23	than           	O               	[NA]                	[23]
24	happy          	O               	[NA]                	[24]
25	with           	O               	[NA]                	[25]
26	the            	O               	[NA]                	[26]
27	view           	O               	[NA]                	[27]
28	that           	O               	[NA]                	[28]
29	we             	B-SPATIAL_ENTITY	[NA]                	[29]
30	had            	O               	[NA]                	[30]
31	.              	O               	[NA]                	[31]


0	In             	B-SPATIAL_SIGNAL	[NA]                	[0]
1	Huaraz         	B-PLACE         	[landmark]          	[0]
2	,              	O               	[NA]                	[2]
3	I              	B-SPATIAL_ENTITY	[mover]             	[4]
4	met            	B-MOTION        	[trajector, trajector]	[6, 0]
5	researchers    	B-SPATIAL_ENTITY	[NA]                	[5]
6	at             	B-SPATIAL_SIGNAL	[NA]                	[6]
7	INRENA         	B-PLACE         	[landmark]          	[6]
8	(              	O               	[NA]                	[8]
9	Instituto      	B-PLACE         	[NA]                	[9]
10	Nacional       	I-PLACE         	[NA]                	[10]
11	de             	I-PLACE         	[NA]                	[11]
12	Recursos       	I-PLACE         	[NA]                	[12]
13	Naturals       	I-PLACE         	[NA]                	[13]
14	)              	O               	[NA]                	[14]
15	,              	O               	[NA]                	[15]
16	who            	O               	[NA]                	[16]
17	monitor        	O               	[NA]                	[17]
18	the            	O               	[NA]                	[18]
19	glaciers       	O               	[NA]                	[19]
20	.              	O               	[NA]                	[20]


0	We             	B-SPATIAL_ENTITY	[mover, mover, mover, mover]	[22, 40, 2, 13]
1	would          	O               	[NA]                	[1]
2	climb          	B-MOTION        	[NA]                	[2]
3	the            	O               	[NA]                	[3]
4	nearly         	B-MEASURE       	[NA]                	[4]
5	19,000         	I-MEASURE       	[NA]                	[5]
6	ft             	I-MEASURE       	[NA]                	[6]
7	peak           	B-PLACE         	[NA]                	[7]
8	in             	O               	[NA]                	[8]
9	just           	O               	[NA]                	[9]
10	one            	O               	[NA]                	[10]
11	morning        	O               	[NA]                	[11]
12	,              	O               	[NA]                	[12]
13	leaving        	B-MOTION        	[NA]                	[13]
14	our            	O               	[NA]                	[14]
15	14,000         	B-MEASURE       	[NA]                	[15]
16	ft             	I-MEASURE       	[NA]                	[16]
17	base           	O               	[NA]                	[17]
18	camp           	B-PLACE         	[NA]                	[18]
19	at             	O               	[NA]                	[19]
20	midnight       	O               	[NA]                	[20]
21	,              	O               	[NA]                	[21]
22	hiking         	B-MOTION        	[NA]                	[22]
23	to             	B-MOTION_SIGNAL 	[NA]                	[23]
24	the            	O               	[NA]                	[24]
25	base           	B-PLACE         	[trajector]         	[26]
26	of             	B-SPATIAL_SIGNAL	[NA]                	[26]
27	the            	O               	[NA]                	[27]
28	glacier        	B-PATH          	[landmark]          	[26]
29	at             	O               	[NA]                	[29]
30	16,000         	B-MEASURE       	[NA]                	[30]
31	ft             	I-MEASURE       	[NA]                	[31]
32	,              	O               	[NA]                	[32]
33	and            	O               	[NA]                	[33]
34	then           	O               	[NA]                	[34]
35	using          	O               	[NA]                	[35]
36	rope           	B-MOTION_SIGNAL 	[NA]                	[36]
37	and            	O               	[NA]                	[37]
38	crampons       	B-MOTION_SIGNAL 	[NA]                	[38]
39	to             	O               	[NA]                	[39]
40	reach          	B-MOTION        	[NA]                	[40]
41	the            	O               	[NA]                	[41]
42	summit         	B-PLACE         	[NA]                	[42]
43	.              	O               	[NA]                	[43]


0	That           	B-SPATIAL_ENTITY	[landmark]          	[2]
1	is             	O               	[NA]                	[1]
2	where          	B-SPATIAL_SIGNAL	[NA]                	[2]
3	the            	O               	[NA]                	[3]
4	glaciers       	B-PATH          	[mover]             	[5]
5	reached        	B-MOTION        	[NA]                	[5]
6	less           	O               	[NA]                	[6]
7	than           	O               	[NA]                	[7]
8	a              	O               	[NA]                	[8]
9	century        	O               	[NA]                	[9]
10	ago            	O               	[NA]                	[10]
11	.              	O               	[NA]                	[11]
12	”              	O               	[NA]                	[12]


0	”              	O               	[NA]                	[0]
1	Everywhere     	O               	[NA]                	[1]
2	you            	O               	[NA]                	[2]
3	look           	O               	[NA]                	[3]
4	”              	O               	[NA]                	[4]
5	they           	O               	[NA]                	[5]
6	told           	O               	[NA]                	[6]
7	me             	B-SPATIAL_ENTITY	[NA]                	[7]
8	,              	O               	[NA]                	[8]
9	”              	O               	[NA]                	[9]
10	you            	O               	[NA]                	[10]
11	can            	O               	[NA]                	[11]
12	see            	O               	[NA]                	[12]
13	exposed        	O               	[NA]                	[13]
14	rock           	B-SPATIAL_ENTITY	[trajector]         	[15]
15	beneath        	B-SPATIAL_SIGNAL	[NA]                	[15]
16	the            	O               	[NA]                	[16]
17	glaciers       	B-PATH          	[landmark]          	[15]
18	or             	O               	[NA]                	[18]
19	glacial        	O               	[NA]                	[19]
20	lakes          	B-PLACE         	[landmark]          	[15]
21	.              	O               	[NA]                	[21]


0	It             	O               	[NA]                	[0]
1	will           	O               	[NA]                	[1]
2	also           	O               	[NA]                	[2]
3	hurt           	O               	[NA]                	[3]
4	the            	O               	[NA]                	[4]
5	tourism        	O               	[NA]                	[5]
6	industry       	B-NONMOTION_EVENT	[trajector]         	[7]
7	in             	B-SPATIAL_SIGNAL	[NA]                	[7]
8	Huaraz         	B-PLACE         	[landmark]          	[7]
9	as             	O               	[NA]                	[9]
10	people         	B-SPATIAL_ENTITY	[mover]             	[11]
11	visit          	B-MOTION        	[NA]                	[11]
12	these          	O               	[NA]                	[12]
13	mountains      	B-PLACE         	[NA]                	[13]
14	to             	O               	[NA]                	[14]
15	see            	O               	[NA]                	[15]
16	the            	O               	[NA]                	[16]
17	snow           	O               	[NA]                	[17]
18	capped         	O               	[NA]                	[18]
19	peaks          	B-PLACE         	[locatedIn]         	[13]
20	.              	O               	[NA]                	[20]


0	Climbing       	B-MOTION        	[NA]                	[0]
1	further        	O               	[NA]                	[1]
2	,              	O               	[NA]                	[2]
3	we             	B-SPATIAL_ENTITY	[mover, mover]      	[0, 4]
4	neared         	B-MOTION        	[NA]                	[4]
5	the            	O               	[NA]                	[5]
6	top            	B-PLACE         	[NA]                	[6]
7	just           	O               	[NA]                	[7]
8	before         	O               	[NA]                	[8]
9	8AM            	O               	[NA]                	[9]
10	.              	O               	[NA]                	[10]


0	The            	O               	[NA]                	[0]
1	morning        	O               	[NA]                	[1]
2	we             	B-SPATIAL_ENTITY	[NA]                	[2]
3	choose         	O               	[NA]                	[3]
4	was            	O               	[NA]                	[4]
5	perfect        	O               	[NA]                	[5]
6	â              	O               	[NA]                	[6]
7	€              	O               	[NA]                	[7]
8	“              	O               	[NA]                	[8]
9	not            	O               	[NA]                	[9]
10	a              	O               	[NA]                	[10]
11	cloud          	B-SPATIAL_ENTITY	[trajector]         	[12]
12	in             	B-SPATIAL_SIGNAL	[NA]                	[12]
13	the            	O               	[NA]                	[13]
14	sky            	B-PLACE         	[landmark]          	[12]
15	,              	O               	[NA]                	[15]
16	and            	O               	[NA]                	[16]
17	,              	O               	[NA]                	[17]
18	after          	O               	[NA]                	[18]
19	hiking         	B-MOTION        	[NA]                	[19]
20	beneath        	O               	[NA]                	[20]
21	the            	O               	[NA]                	[21]
22	stars          	O               	[NA]                	[22]
23	for            	O               	[NA]                	[23]
24	hours          	O               	[NA]                	[24]
25	,              	O               	[NA]                	[25]
26	we             	B-SPATIAL_ENTITY	[mover]             	[19]
27	watched        	O               	[NA]                	[27]
28	the            	O               	[NA]                	[28]
29	sunrise        	B-NONMOTION_EVENT	[trajector]         	[30]
30	over           	B-SPATIAL_SIGNAL	[NA]                	[30]
31	the            	O               	[NA]                	[31]
32	glaciated      	O               	[NA]                	[32]
33	peaks          	B-PLACE         	[landmark]          	[30]
34	.              	O               	[NA]                	[34]


0	In             	O               	[NA]                	[0]
1	a              	O               	[NA]                	[1]
2	few            	O               	[NA]                	[2]
3	days           	B-NONMOTION_EVENT	[trajector]         	[4]
4	in             	B-SPATIAL_SIGNAL	[NA]                	[4]
5	the            	O               	[NA]                	[5]
6	mountains      	B-PLACE         	[landmark]          	[4]
7	,              	O               	[NA]                	[7]
8	I              	B-SPATIAL_ENTITY	[NA]                	[8]
9	took           	O               	[NA]                	[9]
10	the            	O               	[NA]                	[10]
11	photos         	O               	[NA]                	[11]
12	below          	O               	[NA]                	[12]
13	of             	O               	[NA]                	[13]
14	various        	O               	[NA]                	[14]
15	glaciers       	O               	[NA]                	[15]
16	â              	O               	[NA]                	[16]
17	€              	O               	[NA]                	[17]
18	“              	O               	[NA]                	[18]
19	in             	O               	[NA]                	[19]
20	every          	O               	[NA]                	[20]
21	case           	O               	[NA]                	[21]
22	you            	O               	[NA]                	[22]
23	can            	O               	[NA]                	[23]
24	see            	O               	[NA]                	[24]
25	the            	O               	[NA]                	[25]
26	glaciers       	B-PATH          	[landmark, mover]   	[31, 29]
27	used           	O               	[NA]                	[27]
28	to             	O               	[NA]                	[28]
29	reach          	B-MOTION        	[NA]                	[29]
30	far            	B-MEASURE       	[NA]                	[30]
31	below          	B-SPATIAL_SIGNAL	[NA]                	[31]
32	.              	O               	[NA]                	[32]


0	According      	O               	[NA]                	[0]
1	to             	O               	[NA]                	[1]
2	one            	O               	[NA]                	[2]
3	local          	O               	[NA]                	[3]
4	,              	O               	[NA]                	[4]
5	the            	O               	[NA]                	[5]
6	glacier        	B-PATH          	[mover]             	[13]
7	shown          	O               	[NA]                	[7]
8	on             	O               	[NA]                	[8]
9	the            	O               	[NA]                	[9]
10	right          	O               	[NA]                	[10]
11	used           	O               	[NA]                	[11]
12	to             	O               	[NA]                	[12]
13	reach          	B-MOTION        	[NA]                	[13]
14	where          	B-SPATIAL_SIGNAL	[NA]                	[14]
15	I              	B-SPATIAL_ENTITY	[NA]                	[15]
16	am             	O               	[NA]                	[16]
17	sitting        	B-NONMOTION_EVENT	[trajector]         	[14]
18	to             	O               	[NA]                	[18]
19	take           	O               	[NA]                	[19]
20	the            	O               	[NA]                	[20]
21	picture        	O               	[NA]                	[21]
22	.              	O               	[NA]                	[22]


0	Biking         	B-MOTION        	[NA]                	[0]
1	10             	B-MEASURE       	[NA]                	[1]
2	miles          	I-MEASURE       	[NA]                	[2]
3	down           	B-MOTION_SIGNAL 	[NA]                	[3]
4	the            	O               	[NA]                	[4]
5	road           	B-PATH          	[NA]                	[5]
6	,              	O               	[NA]                	[6]
7	we             	B-SPATIAL_ENTITY	[mover]             	[0]
8	then           	O               	[NA]                	[8]
9	spent          	B-NONMOTION_EVENT	[trajector]         	[12]
10	the            	O               	[NA]                	[10]
11	night          	O               	[NA]                	[11]
12	at             	B-SPATIAL_SIGNAL	[NA]                	[12]
13	Jaguar         	B-PLACE         	[landmark]          	[12]
14	Creek          	I-PLACE         	[NA]                	[14]
15	,              	O               	[NA]                	[15]
16	an             	O               	[NA]                	[16]
17	â€˜environmental	O               	[NA]                	[17]
18	peaceâ€™       	O               	[NA]                	[18]
19	center         	B-PLACE         	[NA]                	[19]
20	.              	O               	[NA]                	[20]


0	I              	B-SPATIAL_ENTITY	[NA]                	[0]
1	also           	O               	[NA]                	[1]
2	learned        	O               	[NA]                	[2]
3	that           	O               	[NA]                	[3]
4	cycling        	O               	[NA]                	[4]
5	is             	O               	[NA]                	[5]
6	a              	O               	[NA]                	[6]
7	popular        	O               	[NA]                	[7]
8	sport          	O               	[NA]                	[8]
9	here           	O               	[NA]                	[9]
10	,              	O               	[NA]                	[10]
11	and            	O               	[NA]                	[11]
12	I              	B-SPATIAL_ENTITY	[NA]                	[12]
13	was            	O               	[NA]                	[13]
14	also           	O               	[NA]                	[14]
15	impressed      	O               	[NA]                	[15]
16	with           	O               	[NA]                	[16]
17	the            	O               	[NA]                	[17]
18	number         	O               	[NA]                	[18]
19	of             	O               	[NA]                	[19]
20	bike           	O               	[NA]                	[20]
21	racks          	B-SPATIAL_ENTITY	[trajector]         	[22]
22	in             	B-SPATIAL_SIGNAL	[NA]                	[22]
23	Belize         	B-PLACE         	[landmark]          	[22]
24	City           	I-PLACE         	[NA]                	[24]
25	.              	O               	[NA]                	[25]


0	Plans          	O               	[NA]                	[0]
1	change         	O               	[NA]                	[1]
2	,              	O               	[NA]                	[2]
3	though         	O               	[NA]                	[3]
4	,              	O               	[NA]                	[4]
5	and            	O               	[NA]                	[5]
6	when           	O               	[NA]                	[6]
7	he             	B-SPATIAL_ENTITY	[mover]             	[8]
8	arrived        	B-MOTION        	[NA]                	[8]
9	,              	O               	[NA]                	[9]
10	I              	B-SPATIAL_ENTITY	[NA]                	[10]
11	told           	O               	[NA]                	[11]
12	him            	O               	[NA]                	[12]
13	we             	B-SPATIAL_ENTITY	[mover]             	[15]
14	were           	O               	[NA]                	[14]
15	biking         	B-MOTION        	[NA]                	[15]
16	50             	B-MEASURE       	[NA]                	[16]
17	miles          	I-MEASURE       	[NA]                	[17]
18	inland         	B-MOTION_SIGNAL 	[NA]                	[18]
19	.              	O               	[NA]                	[19]


0	Turning        	B-MOTION        	[NA]                	[0]
1	back           	B-MOTION_SIGNAL 	[NA]                	[1]
2	towards        	B-MOTION_SIGNAL 	[NA]                	[2]
3	the            	O               	[NA]                	[3]
4	coast          	B-PATH          	[NA]                	[4]
5	,              	O               	[NA]                	[5]
6	Dennis         	B-SPATIAL_ENTITY	[mover, mover]      	[0, 9]
7	and            	O               	[NA]                	[7]
8	I              	B-SPATIAL_ENTITY	[mover, mover]      	[0, 9]
9	biked          	B-MOTION        	[NA]                	[9]
10	along          	B-MOTION_SIGNAL 	[NA]                	[10]
11	the            	O               	[NA]                	[11]
12	base           	B-PATH          	[locatedIn]         	[15]
13	of             	O               	[NA]                	[13]
14	the            	O               	[NA]                	[14]
15	Maya           	B-PATH          	[NA]                	[15]
16	mountains      	I-PATH          	[NA]                	[16]
17	.              	O               	[NA]                	[17]


0	I              	B-SPATIAL_ENTITY	[NA]                	[0]
1	learned        	O               	[NA]                	[1]
2	these          	O               	[NA]                	[2]
3	basic          	O               	[NA]                	[3]
4	facts          	O               	[NA]                	[4]
5	about          	O               	[NA]                	[5]
6	Belize         	B-PLACE         	[NA]                	[6]
7	from           	O               	[NA]                	[7]
8	a              	O               	[NA]                	[8]
9	cyclist        	B-SPATIAL_ENTITY	[NA]                	[9]
10	who            	O               	[NA]                	[10]
11	I              	B-SPATIAL_ENTITY	[mover]             	[12]
12	met            	B-MOTION        	[trajector]         	[13]
13	on             	B-SPATIAL_SIGNAL	[NA]                	[13]
14	the            	O               	[NA]                	[14]
15	road           	B-PATH          	[landmark]          	[13]
16	(              	O               	[NA]                	[16]
17	movie          	O               	[NA]                	[17]
18	on             	O               	[NA]                	[18]
19	the            	O               	[NA]                	[19]
20	right          	O               	[NA]                	[20]
21	)              	O               	[NA]                	[21]
22	.              	O               	[NA]                	[22]


0	The            	O               	[NA]                	[0]
1	following      	O               	[NA]                	[1]
2	day            	O               	[NA]                	[2]
3	I              	B-SPATIAL_ENTITY	[NA]                	[3]
4	gave           	O               	[NA]                	[4]
5	a              	O               	[NA]                	[5]
6	presentation   	B-NONMOTION_EVENT	[trajector]         	[7]
7	at             	B-SPATIAL_SIGNAL	[NA]                	[7]
8	Galen          	B-PLACE         	[landmark]          	[7]
9	University     	I-PLACE         	[NA]                	[9]
10	,              	O               	[NA]                	[10]
11	a              	O               	[NA]                	[11]
12	university     	B-PLACE         	[NA]                	[12]
13	that           	O               	[NA]                	[13]
14	attempts       	O               	[NA]                	[14]
15	to             	O               	[NA]                	[15]
16	incorporate    	O               	[NA]                	[16]
17	sustainable    	O               	[NA]                	[17]
18	development    	O               	[NA]                	[18]
19	into           	O               	[NA]                	[19]
20	all            	O               	[NA]                	[20]
21	of             	O               	[NA]                	[21]
22	its            	O               	[NA]                	[22]
23	classes        	O               	[NA]                	[23]
24	.              	O               	[NA]                	[24]


0	â€˜Sure        	O               	[NA]                	[0]
1	,              	O               	[NA]                	[1]
2	just           	O               	[NA]                	[2]
3	one            	O               	[NA]                	[3]
4	problem        	O               	[NA]                	[4]
5	.              	O               	[NA]                	[5]


0	When           	O               	[NA]                	[0]
1	he             	B-SPATIAL_ENTITY	[mover]             	[5]
2	was            	O               	[NA]                	[2]
3	deciding       	O               	[NA]                	[3]
4	to             	O               	[NA]                	[4]
5	join           	B-MOTION        	[NA]                	[5]
6	me             	B-SPATIAL_ENTITY	[NA]                	[6]
7	,              	O               	[NA]                	[7]
8	I              	B-SPATIAL_ENTITY	[NA]                	[8]
9	promised       	O               	[NA]                	[9]
10	we             	B-SPATIAL_ENTITY	[mover]             	[12]
11	would          	O               	[NA]                	[11]
12	bike           	B-MOTION        	[NA]                	[12]
13	short          	O               	[NA]                	[13]
14	distances      	O               	[NA]                	[14]
15	and            	O               	[NA]                	[15]
16	spend          	B-NONMOTION_EVENT	[trajector]         	[20]
17	lots           	O               	[NA]                	[17]
18	of             	O               	[NA]                	[18]
19	time           	O               	[NA]                	[19]
20	on             	B-SPATIAL_SIGNAL	[NA]                	[20]
21	the            	O               	[NA]                	[21]
22	beach          	B-PATH          	[landmark]          	[20]
23	.              	O               	[NA]                	[23]


0	A              	O               	[NA]                	[0]
1	large          	O               	[NA]                	[1]
2	portion        	O               	[NA]                	[2]
3	of             	O               	[NA]                	[3]
4	the            	O               	[NA]                	[4]
5	country        	O               	[NA]                	[5]
6	is             	O               	[NA]                	[6]
7	of             	O               	[NA]                	[7]
8	African        	O               	[NA]                	[8]
9	descent        	O               	[NA]                	[9]
10	and            	O               	[NA]                	[10]
11	speaks         	O               	[NA]                	[11]
12	â€˜Creol       	O               	[NA]                	[12]
13	English.â€™    	O               	[NA]                	[13]
14	It             	O               	[NA]                	[14]
15	is             	O               	[NA]                	[15]
16	a              	O               	[NA]                	[16]
17	diverse        	O               	[NA]                	[17]
18	country        	B-PLACE         	[landmark]          	[24]
19	,              	O               	[NA]                	[19]
20	with           	O               	[NA]                	[20]
21	immigrants     	O               	[NA]                	[21]
22	from           	O               	[NA]                	[22]
23	the            	O               	[NA]                	[23]
24	surrounding    	B-SPATIAL_SIGNAL	[NA]                	[24]
25	Hispanic       	O               	[NA]                	[25]
26	countries      	B-PLACE         	[trajector]         	[24]
27	as             	O               	[NA]                	[27]
28	well           	O               	[NA]                	[28]
29	as             	O               	[NA]                	[29]
30	indigenous     	O               	[NA]                	[30]
31	Mayan          	O               	[NA]                	[31]
32	communities    	O               	[NA]                	[32]
33	.              	O               	[NA]                	[33]


0	Dennis         	B-SPATIAL_ENTITY	[NA]                	[0]
1	reported       	O               	[NA]                	[1]
2	,              	O               	[NA]                	[2]
3	much           	O               	[NA]                	[3]
4	to             	O               	[NA]                	[4]
5	my             	O               	[NA]                	[5]
6	relief         	O               	[NA]                	[6]
7	,              	O               	[NA]                	[7]
8	that           	O               	[NA]                	[8]
9	he             	B-SPATIAL_ENTITY	[mover]             	[12]
10	actually       	O               	[NA]                	[10]
11	enjoyed        	O               	[NA]                	[11]
12	bicycling      	B-MOTION        	[NA]                	[12]
13	and            	O               	[NA]                	[13]
14	was            	O               	[NA]                	[14]
15	not            	O               	[NA]                	[15]
16	angry          	O               	[NA]                	[16]
17	for            	O               	[NA]                	[17]
18	the            	O               	[NA]                	[18]
19	false          	O               	[NA]                	[19]
20	advertising    	O               	[NA]                	[20]
21	.              	O               	[NA]                	[21]


0	Dennis         	B-SPATIAL_ENTITY	[mover, mover]      	[5, 18]
1	,              	O               	[NA]                	[1]
2	who            	O               	[NA]                	[2]
3	has            	O               	[NA]                	[3]
4	never          	O               	[NA]                	[4]
5	biked          	B-MOTION        	[NA]                	[5]
6	more           	O               	[NA]                	[6]
7	than           	O               	[NA]                	[7]
8	20             	B-MEASURE       	[NA]                	[8]
9	miles          	I-MEASURE       	[NA]                	[9]
10	in             	O               	[NA]                	[10]
11	a              	O               	[NA]                	[11]
12	day            	O               	[NA]                	[12]
13	,              	O               	[NA]                	[13]
14	is             	O               	[NA]                	[14]
15	new            	O               	[NA]                	[15]
16	to             	O               	[NA]                	[16]
17	bike           	B-MOTION_SIGNAL 	[NA]                	[17]
18	touring        	B-MOTION        	[NA]                	[18]
19	.              	O               	[NA]                	[19]


0	Fortunately    	O               	[NA]                	[0]
1	,              	O               	[NA]                	[1]
2	the            	O               	[NA]                	[2]
3	road           	B-PATH          	[mover, mover]      	[5, 10]
4	never          	O               	[NA]                	[4]
5	crossed        	B-MOTION        	[NA]                	[5]
6	over           	B-MOTION_SIGNAL 	[NA]                	[6]
7	the            	O               	[NA]                	[7]
8	mountains      	B-PLACE         	[NA]                	[8]
9	,              	O               	[NA]                	[9]
10	avoiding       	B-MOTION        	[NA]                	[10]
11	any            	O               	[NA]                	[11]
12	serious        	O               	[NA]                	[12]
13	hills          	B-PLACE         	[NA]                	[13]
14	.              	O               	[NA]                	[14]


0	I              	B-SPATIAL_ENTITY	[mover]             	[1]
1	met            	B-MOTION        	[trajector]         	[10]
2	Dennis         	B-SPATIAL_ENTITY	[NA]                	[2]
3	,              	O               	[NA]                	[3]
4	a              	O               	[NA]                	[4]
5	good           	O               	[NA]                	[5]
6	friend         	O               	[NA]                	[6]
7	from           	O               	[NA]                	[7]
8	college        	O               	[NA]                	[8]
9	,              	O               	[NA]                	[9]
10	at             	B-SPATIAL_SIGNAL	[NA]                	[10]
11	the            	O               	[NA]                	[11]
12	Belize         	B-PLACE         	[landmark]          	[10]
13	City           	I-PLACE         	[NA]                	[13]
14	airport        	I-PLACE         	[NA]                	[14]
15	.              	O               	[NA]                	[15]


0	The            	O               	[NA]                	[0]
1	customs        	O               	[NA]                	[1]
2	agent          	O               	[NA]                	[2]
3	,              	O               	[NA]                	[3]
4	a              	O               	[NA]                	[4]
5	man            	O               	[NA]                	[5]
6	of             	O               	[NA]                	[6]
7	African        	O               	[NA]                	[7]
8	descent        	O               	[NA]                	[8]
9	,              	O               	[NA]                	[9]
10	replied        	O               	[NA]                	[10]
11	in             	O               	[NA]                	[11]
12	English        	O               	[NA]                	[12]
13	â€˜I           	O               	[NA]                	[13]
14	do             	O               	[NA]                	[14]
15	nâ€™t          	O               	[NA]                	[15]
16	know           	O               	[NA]                	[16]
17	how            	O               	[NA]                	[17]
18	many           	O               	[NA]                	[18]
19	kilometers     	O               	[NA]                	[19]
20	it             	O               	[NA]                	[20]
21	is             	O               	[NA]                	[21]
22	,              	O               	[NA]                	[22]
23	but            	O               	[NA]                	[23]
24	I              	O               	[NA]                	[24]
25	do             	O               	[NA]                	[25]
26	know           	O               	[NA]                	[26]
27	it             	B-PATH          	[NA]                	[27]
28	is             	O               	[NA]                	[28]
29	75             	B-MEASURE       	[NA]                	[29]
30	miles.â€™      	O               	[NA]                	[30]
31	Belize         	B-PLACE         	[NA]                	[31]
32	is             	O               	[NA]                	[32]
33	more           	O               	[NA]                	[33]
34	of             	O               	[NA]                	[34]
35	a              	O               	[NA]                	[35]
36	Caribbean      	O               	[NA]                	[36]
37	nation         	O               	[NA]                	[37]
38	than           	O               	[NA]                	[38]
39	a              	O               	[NA]                	[39]
40	Central        	O               	[NA]                	[40]
41	American       	O               	[NA]                	[41]
42	nation         	O               	[NA]                	[42]
43	.              	O               	[NA]                	[43]


0	The            	O               	[NA]                	[0]
1	jaguar         	B-SPATIAL_ENTITY	[mover]             	[3]
2	then           	O               	[NA]                	[2]
3	leapt          	B-MOTION        	[NA]                	[3]
